Itga4,Itga7,Egfr,Flt1,Mxd1,Cbl,Ksr1,Vangl2,Cblb,Rabif,Tomm34,Cd2ap,Vangl1,Mlx,Tomm40l,Ppp2r1b,Dvl3,Smarce1,Ets2,Smarca4,Dvl1,Axin1,Dvl2,Sh3kbp1,Pdgfrb,Itga5,Ddx6,Nfkb2,Fxr2,Crk,Smarcb1,Trim8,Cdkn1a,Poldip3,Ccnd1,Col4a1,Fam120a,Trap1,Sec61a1,Itgb5,Tomm40,Myc,Pdia4,Igfbp4,Ctnna1,Vat1,Zfp36l1,Slc25a1,Eif3b,Trim28,Ppp2ca,Itgb1,Cyr61,Pdia3,Serpinh1,Fbln2,Eif4b,Psat1,Col1a1,Bgn
0,2,1,3,13,25,3,14,2,6,25,5,2,22,9,10,36,16,8,8,22,18,46,10,11,42,92,16,40,17,20,20,30,33,54,94,40,94,21,2,52,30,,,,94,21,20,47,70,56,129,151,53,98,99,80,142,285,192
0,2,1,1,6,6,8,0,0,10,15,6,2,8,9,6,13,9,10,1,10,14,22,8,2,13,9,6,14,8,23,13,5,30,65,21,36,26,10,34,68,109,,,,81,14,6,33,33,23,89,35,128,106,66,22,133,131,22
1,2,0,1,23,37,3,22,5,6,34,17,8,31,11,19,58,20,10,18,54,10,92,24,17,112,75,23,85,34,20,119,53,31,49,73,67,197,50,16,40,51,,,,89,45,36,55,135,124,256,265,32,182,126,178,220,379,519
0,14,0,20,17,29,8,19,4,10,16,17,5,15,20,14,28,25,8,24,27,17,73,22,41,60,182,17,66,32,16,15,47,37,64,66,44,171,20,26,63,36,,,,74,49,47,42,79,124,206,298,202,172,77,209,144,547,524
0,1,3,0,14,10,3,19,2,9,26,10,5,22,19,15,29,25,10,16,26,11,52,10,23,68,75,38,57,14,19,16,19,24,82,25,48,128,18,19,25,12,,,,76,30,49,47,68,75,128,233,78,236,67,193,88,431,431
0,8,3,0,11,7,6,23,1,6,24,10,4,15,10,13,25,11,8,3,15,11,23,13,20,64,37,35,57,5,26,16,11,9,100,42,61,87,11,5,37,22,,,,174,26,38,43,50,25,103,167,27,158,80,91,77,482,156
0,1,0,0,8,9,3,10,9,7,16,18,6,17,14,15,30,18,13,18,26,10,46,13,4,34,24,31,34,16,22,103,18,22,44,138,50,56,17,5,42,48,,,,45,30,13,42,95,97,114,87,27,77,126,68,322,128,74
1,3,0,0,9,7,3,14,5,7,12,12,7,14,12,20,33,11,14,8,14,12,29,13,13,58,107,12,66,14,15,22,25,53,51,119,40,66,12,14,40,30,,,,56,4,18,49,74,51,132,103,38,104,113,54,188,269,118
1,4,1,0,17,32,8,7,3,13,25,24,9,27,19,36,54,28,9,4,42,23,74,16,35,71,69,63,98,25,41,15,37,36,20,77,90,69,34,4,35,20,,,,125,25,25,97,135,92,189,127,68,177,227,67,478,333,191
0,4,0,3,13,15,7,28,7,3,31,13,4,22,8,22,42,13,4,7,30,16,36,13,33,51,50,19,65,23,23,11,38,28,46,17,55,79,11,16,52,36,,,,73,21,49,50,68,84,184,127,31,128,106,125,219,267,289
