,AATF,ACTN1,B3GALT4,BGN,CALM1,CBL,CBLB,CCND1,CDK1,CDKN1A,COL4A1,CTSB,DAP,DDX6,DVL2,FKBP1A,FLT1,FXR2,ITGA4,ITGA5,ITGA7,ITGB1,ITGB5,LAMP1,MXD1,NAPA,NFKB2,PDGFRB,POLDIP3,RABIF,RAC1,SERPINF1,SH3KBP1,SLC25A3,SMARCA4,SMARCB1,SOX10,SPARC,TOMM34,TRIM8,VANGL1,VANGL2,VCP
cell_23_Pos33,0.009377143347050755,0.17280735596707822,0.0013395919067215364,0.2866726680384088,0.1982596021947874,0.01875428669410151,0.013395919067215364,0.028131430041152268,0.00803755144032922,0.0147355109739369,0.07903592249657064,0.08037551440329219,0.13395919067215364,0.06430041152263376,0.025452246227709193,0.12190286351165981,0.006697959533607682,0.03482938957475994,0.0,0.025452246227709193,0.0,0.10582776063100138,0.03482938957475994,0.15271347736625515,0.0,0.0294710219478738,0.0147355109739369,0.0147355109739369,0.042866941015089165,0.005358367626886146,0.052244084362139925,0.08707347393689988,0.01607510288065844,0.2679183813443073,0.03750857338820302,0.013395919067215364,0.0,0.23844735939643347,0.012056327160493827,0.044206532921810704,0.009377143347050755,0.012056327160493827,0.10716735253772292
cell_23_Pos34,0.0198439686210023,0.13229312414001532,0.0013229312414001534,0.4246609284894492,0.1561058864852181,0.011906381172601378,0.005291724965600614,0.08466759944960982,0.014552243655401687,0.055563112138806436,0.12435553669161441,0.16007468020941854,0.1666893364164193,0.06350069958720736,0.014552243655401687,0.12700139917441472,0.010583449931201227,0.03175034979360368,0.0,0.026458624828003065,0.0,0.10318863682921196,0.05820897462160675,0.1838874425546213,0.005291724965600614,0.05291724965600613,0.05159431841460598,0.044979662207605214,0.06614656207000766,0.010583449931201227,0.0595319058630069,0.3638060913850421,0.021166899862402454,0.3254410853844377,0.034396212276403985,0.0396879372420046,0.0,0.42069213476524875,0.018521037379602145,0.05291724965600613,0.017198106138201993,0.00793758744840092,0.11377208676041317
cell_23_Pos37,0.02612027980423658,0.11872854456471173,0.0011872854456471172,0.3253162121073101,0.17809281684706757,0.011872854456471172,0.00831099811952982,0.04867870327153181,0.011872854456471172,0.017809281684706756,0.1175412591190646,0.13178868446683,0.09854469198871073,0.06173884317365009,0.017809281684706756,0.11279211733647612,0.005936427228235586,0.015434710793412522,0.0,0.03561856336941351,0.0,0.08429726664094532,0.05342784505412028,0.1104175464451819,0.0,0.041554990597649104,0.06411341406494434,0.022558423467295224,0.04274227604329622,0.009498283565176938,0.07004984129317991,0.09142097931482802,0.029682136141177932,0.22202237833601093,0.030869421586825044,0.030869421586825044,0.0,0.2291460910098936,0.011872854456471172,0.06411341406494434,0.017809281684706756,0.005936427228235586,0.10804297555388767
cell_23_Pos39,0.023560892919067135,0.13295075290045028,0.0016829209227905097,0.30460868702508226,0.23056016642229984,0.02019505107348612,0.0168292092279051,0.03281695799441494,0.03281695799441494,0.015146288305114589,0.0673168369116204,0.056377850913482075,0.171657934124632,0.06226807414324886,0.013463367382324077,0.08162166475533972,0.0,0.0521705486065058,0.0,0.0075731441525572945,0.0,0.06226807414324886,0.035341339378600706,0.1026581762902211,0.0016829209227905097,0.03113403707162443,0.03870718122418172,0.02103651153488137,0.06310953460464412,0.004207302306976275,0.05974369275906309,0.0336584184558102,0.0336584184558102,0.2869380173357819,0.03870718122418172,0.023560892919067135,0.0,0.1901700642753276,0.010938985998138313,0.06815829737301564,0.010938985998138313,0.014304827843719335,0.13631659474603128
cell_23_Pos42,0.02392462174694526,0.1275979826503747,0.0,0.3289635490204973,0.1973781294122984,0.033893214141505784,0.0019937184789121046,0.03588693262041789,0.015949747831296837,0.013956029352384734,0.07775502067757209,0.06379899132518735,0.11762939025581419,0.10766079786125367,0.02392462174694526,0.09370476850886893,0.003987436957824209,0.04984296197280263,0.0,0.015949747831296837,0.0,0.06778642828301157,0.04585552501497841,0.11762939025581419,0.003987436957824209,0.021930903268033156,0.015949747831296837,0.021930903268033156,0.04984296197280263,0.0,0.09769220546669315,0.04585552501497841,0.021930903268033156,0.3030452087946399,0.06579270980409946,0.025918340225857362,0.0,0.16946607070752892,0.015949747831296837,0.0837361761143084,0.009968592394560525,0.009968592394560525,0.1236105456925505
cell_23_Pos5,0.05079222048472195,0.14447564937876467,0.002257432021543198,0.3724762835546276,0.1952678698634866,0.02934661628006157,0.014673308140030785,0.04853478846317875,0.09481214490481431,0.014673308140030785,0.05079222048472195,0.04514864043086395,0.12303004517410428,0.07336654070015393,0.02144560420466038,0.1038418729909871,0.001128716010771599,0.054178368517036744,0.0,0.012415876118487587,0.0,0.054178368517036744,0.013544592129259186,0.12867362522796227,0.002257432021543198,0.032732764312376365,0.03611891234469117,0.009029728086172792,0.06320809660320953,0.005643580053857994,0.10609930501253029,0.06772296064629593,0.022574320215431976,0.43681309616860875,0.06320809660320953,0.047406072452407154,0.0,0.12190132916333268,0.027089184258518372,0.08352498479709831,0.010158444096944389,0.009029728086172792,0.18962428980962862
cell_23_Pos6,0.029696529972351345,0.1416296044835218,0.0,0.24099876246792823,0.20901788403616522,0.013706090756469851,0.009137393837646567,0.03654957535058627,0.13820308179440433,0.007995219607940746,0.07195697647146672,0.09936915798440643,0.10964872605175881,0.039976098039703735,0.020559136134704777,0.09365828683587733,0.001142174229705821,0.05025566610705612,0.0,0.021701310364410597,0.0,0.10508002913293553,0.031980878431762984,0.14277177871322763,0.005710871148529105,0.051397840336761945,0.014848264986175672,0.014848264986175672,0.054824363025879404,0.009137393837646567,0.08680524145764239,0.11878611988940538,0.02284348459411642,0.3871970638702733,0.05368218879617359,0.05368218879617359,0.0,0.19988049019851867,0.013706090756469851,0.052540014566467765,0.01256391652676403,0.015990439215881492,0.1519091725508742
cell_23_Pos7,0.05110842509279847,0.11463688907592988,0.0030063779466352044,0.38309036349424663,0.2274825979620638,0.0232175977875301,0.012025511786540818,0.0232175977875301,0.05611905500385715,0.01160879889376505,0.0691466927726097,0.07255499308603157,0.13328275563416073,0.053690694883663355,0.022046771608658165,0.10157699032044418,0.006012755893270409,0.037728596404736414,0.0,0.015962098478926944,0.0010021259822117349,0.08706599170323787,0.03607653535962245,0.1538165853423869,0.0,0.036277496543015784,0.04409354321731633,0.021766497925809467,0.05912543295049235,0.010157699032044418,0.05511692902164542,0.13350118727829807,0.020042519644234695,0.3381062677809071,0.046097795181739794,0.03192419695785389,0.0,0.3352040680574658,0.016034015715387758,0.05949509433054588,0.016034015715387758,0.0232175977875301,0.1553295272428189
cell_24_Pos0,0.022330253487606873,0.11701052827506003,0.0,0.22419574501557302,0.1536321439947353,0.015184572371572674,0.011611731813555575,0.025009883906119697,0.1545253541342396,0.008038891255538475,0.06609755032331635,0.08396175311340184,0.071456811160342,0.033048775161658175,0.018757412929589778,0.10539879646150445,0.002679630418512825,0.03394198530116245,0.0,0.020543833208598324,0.0,0.12951547022811988,0.022330253487606873,0.09021422408993178,0.002679630418512825,0.034835195440666725,0.0178642027900855,0.00893210139504275,0.05180618809124795,0.00535926083702565,0.06252470976529925,0.07770928213687193,0.01965062306909405,0.3090507082684792,0.049126557672735126,0.03840803599868382,0.0,0.22062290445755595,0.008038891255538475,0.027689514324632524,0.009825311534547024,0.006252470976529924,0.10182595590348735
cell_24_Pos1,0.031768264580339614,0.1747645571885556,0.00338378695027674,0.46978524591532517,0.18290819000801595,0.048500946287299944,0.010856925301730892,0.03318166537065115,0.19542296090330125,0.0671174594997262,0.14240075030178603,0.09493383353452402,0.12702602603025143,0.05178209101883129,0.025891045509415647,0.15402794948043447,0.008630348503138548,0.036678981138338826,0.0,0.015402794948043448,0.0009969519748613696,0.1478092366510824,0.07551554940246229,0.17692214431434022,0.0039878078994454785,0.0369523091627706,0.09434211905676612,0.023733458383631004,0.07983072365403157,0.00676757390055348,0.07782709985636502,0.21643495366765636,0.0409941553899081,0.3322684173708341,0.05084455071792984,0.03369361394884504,0.0,0.31285013323877237,0.023686508651937176,0.08846107215717011,0.028048632635200278,0.019418284132061734,0.15552450807837365
cell_24_Pos10,0.011460012568975065,0.0,0.001528001675863342,0.0,0.1237681357449307,0.0,0.0038200041896583555,0.0,0.15280016758633422,0.0,0.116128127365614,0.0,0.12147613323113571,0.0,0.012988014244838409,0.0,0.000764000837931671,0.0,0.0,0.0,0.0,0.0,0.025212027651745145,0.0,0.000764000837931671,0.0,0.016808018434496762,0.0,0.05730006284487533,0.0,0.07105207792764541,0.0,0.021392023462086792,0.0,0.043548047762105246,0.0,0.0,0.0,0.01451601592070175,0.0,0.016044017596565093,0.0,0.12453213658286238
cell_24_Pos13,0.025942366618788338,0.1060253244420045,0.00338378695027674,0.3902634282652506,0.14775869682875098,0.048500946287299944,0.00451171593370232,0.03270994051934182,0.00225585796685116,0.00789550288397906,0.0,0.0,0.0,0.0,0.0169189347513837,0.1060253244420045,0.0,0.03270994051934182,0.0,0.005639644917127901,0.0,0.10151360850830221,0.045117159337023205,0.14888662581217657,0.00338378695027674,0.02707029560221392,0.030454082552490658,0.01804686373480928,0.046245088320448775,0.00676757390055348,0.07782709985636502,0.04737301730387435,0.028198224585639503,0.3192039023094391,0.0394775144198953,0.03158201153591624,0.0,0.1951317141326253,0.023686508651937176,0.06541988103868364,0.02030272170166044,0.01353514780110696,0.13647940699449518
cell_24_Pos15,0.015951231597781914,0.0882330647355951,0.0,0.26469919420678534,0.049847598743068475,0.009049545101086678,0.0039878078994454785,0.03318166537065115,0.08573786983807778,0.0671174594997262,0.0,0.0,0.0,0.0,0.011963423698336435,0.10784041245461624,0.0,0.003016515033695559,0.0,0.015082575168477797,0.0009969519748613696,0.1478092366510824,0.04286893491903889,0.13800556279157183,0.0039878078994454785,0.0369523091627706,0.026917703321256977,0.010557802617934457,0.07477139811460272,0.006033030067391118,0.07776225403918682,0.21643495366765636,0.018942087522366022,0.1327266614826046,0.05084455071792984,0.030165150336955594,0.0,0.3099469197122187,0.022929895421811498,0.024886249027988364,0.022929895421811498,0.015836703926901684,0.15552450807837365
cell_24_Pos17,0.031768264580339614,0.17039341911273065,0.0009626746842527155,0.46978524591532517,0.18290819000801595,0.028880240527581463,0.003850698737010862,0.003850698737010862,0.19542296090330125,0.017328144316548878,0.02117884305355974,0.009626746842527154,0.001925349368505431,0.0057760481055162925,0.01058942152677987,0.15402794948043447,0.0009626746842527155,0.025029541790570604,0.0,0.015402794948043448,0.0,0.07027525195044823,0.05005908358114121,0.15402794948043447,0.001925349368505431,0.03369361394884504,0.09434211905676612,0.022141517737812456,0.05102175826539392,0.0028880240527581463,0.06931257726619551,0.11744631147883129,0.035618963317350476,0.2984291521183418,0.048133734212635775,0.03369361394884504,0.0,0.15210260011192903,0.014440120263790731,0.0750886253717118,0.02791756584332875,0.01058942152677987,0.11744631147883129
cell_24_Pos19,0.010787935628923185,0.1747645571885556,0.0,0.409941553899081,0.0,0.0,0.0,0.0,0.06688520089932375,0.023733458383631004,0.14240075030178603,0.09493383353452402,0.11866729191815503,0.05178209101883129,0.025891045509415647,0.11219453054080111,0.008630348503138548,0.036678981138338826,0.0,0.01510310988049246,0.0,0.06472761377353911,0.07551554940246229,0.17692214431434022,0.002157587125784637,0.025891045509415647,0.07120037515089302,0.023733458383631004,0.07983072365403157,0.004315174251569274,0.06904278802510838,0.06472761377353911,0.0409941553899081,0.3322684173708341,0.045309329641477374,0.028048632635200278,0.0,0.31285013323877237,0.01510310988049246,0.08846107215717011,0.028048632635200278,0.019418284132061734,0.12945522754707822
cell_24_Pos22,0.02071337608028298,0.06810819745676248,0.0,0.0,0.09991157874018851,0.002389761314272368,0.0036553016612264084,0.0059744032856809196,0.0036553016612264084,0.022702732485587497,0.07919820265990551,0.04182082299976644,0.02558711162858486,0.010753925914225654,0.007310603322452817,0.0896160492852138,0.008529037209528287,0.019118090514178943,0.0,0.013143687228498024,0.0,0.053769629571128276,0.040208318273490494,0.07766724271385195,0.0,0.01792320985704276,0.03289771495103768,0.011948806571361839,0.04751892159594331,0.002389761314272368,0.03898988438641503,0.051379868256855914,0.012184338870754693,0.16250376937052102,0.026805545515660327,0.014338567885634207,0.0,0.1684781726562019,0.008529037209528287,0.045405464971174994,0.006092169435377347,0.0035846419714085516,0.07676133488575457
